set,middle,pangrams,word_count,total_points
wrfslae,w,['farewells'],56,258
wrfslae,r,['farewells'],107,536
wrfslae,f,['farewells'],65,321
wrfslae,s,['farewells'],136,665
wrfslae,l,['farewells'],99,463
wrfslae,a,['farewells'],127,609
wrfslae,e,['farewells'],169,781
wiygsah,w,['highways'],26,91
wiygsah,i,['highways'],26,112
wiygsah,y,['highways'],20,79
wiygsah,g,['highways'],26,88
wiygsah,s,['highways'],50,149
wiygsah,a,['highways'],40,131
wiygsah,h,['highways'],32,118
rukstae,r,['sauerkraut'],203,1124
rukstae,u,['sauerkraut'],94,528
rukstae,k,['sauerkraut'],56,253
rukstae,s,['sauerkraut'],238,1274
rukstae,t,['sauerkraut'],203,1122
rukstae,a,['sauerkraut'],182,994
rukstae,e,['sauerkraut'],238,1278
ouxisan,o,['anxious'],21,94
ouxisan,u,['anxious'],20,89
ouxisan,x,['anxious'],12,52
ouxisan,i,['anxious'],29,130
ouxisan,s,['anxious'],35,151
ouxisan,a,['anxious'],19,96
ouxisan,n,['anxious'],37,157
risbhed,r,['hebrides'],120,607
risbhed,i,['hebrides'],106,503
risbhed,s,['hebrides'],115,569
risbhed,b,['hebrides'],55,265
risbhed,h,['hebrides'],47,231
risbhed,e,['hebrides'],156,758
risbhed,d,['hebrides'],107,548
rufgtle,r,['regretful'],52,251
rufgtle,u,['regretful'],51,214
rufgtle,f,['regretful'],46,198
rufgtle,g,['regretful'],21,98
rufgtle,t,['regretful'],41,178
rufgtle,l,['regretful'],48,183
rufgtle,e,['regretful'],69,296
ckisthe,c,"['thickest', 'thickets']",55,283
ckisthe,k,"['thickest', 'thickets']",52,252
ckisthe,i,"['thickest', 'thickets']",75,327
ckisthe,s,"['thickest', 'thickets']",92,428
ckisthe,t,"['thickest', 'thickets']",81,381
ckisthe,h,"['thickest', 'thickets']",69,352
ckisthe,e,"['thickest', 'thickets']",82,403
mouigvn,m,['unmoving'],15,76
mouigvn,o,['unmoving'],17,75
mouigvn,u,['unmoving'],9,57
mouigvn,i,['unmoving'],21,127
mouigvn,g,['unmoving'],16,99
mouigvn,v,['unmoving'],4,28
mouigvn,n,['unmoving'],26,132
ufgslba,u,['bagfuls'],34,120
ufgslba,f,['bagfuls'],20,86
ufgslba,g,['bagfuls'],30,92
ufgslba,s,['bagfuls'],46,163
ufgslba,l,['bagfuls'],52,180
ufgslba,b,['bagfuls'],25,90
ufgslba,a,['bagfuls'],41,129
roygsla,r,['glossary'],43,176
roygsla,o,['glossary'],63,234
roygsla,y,['glossary'],52,224
roygsla,g,['glossary'],51,177
roygsla,s,['glossary'],70,264
roygsla,l,['glossary'],63,252
roygsla,a,['glossary'],73,262
oigpsed,o,['gossiped'],73,370
oigpsed,i,['gossiped'],60,318
oigpsed,g,['gossiped'],33,151
oigpsed,p,['gossiped'],87,429
oigpsed,s,['gossiped'],112,520
oigpsed,e,['gossiped'],119,587
oigpsed,d,['gossiped'],88,434
cukpsan,c,['unpacks'],32,131
cukpsan,u,['unpacks'],37,131
cukpsan,k,['unpacks'],30,127
cukpsan,p,['unpacks'],38,125
cukpsan,s,['unpacks'],60,203
cukpsan,a,['unpacks'],48,184
cukpsan,n,['unpacks'],42,171
ruftbae,r,['butterfat'],82,360
ruftbae,u,['butterfat'],36,150
ruftbae,f,['butterfat'],36,146
ruftbae,t,['butterfat'],76,308
ruftbae,b,['butterfat'],56,214
ruftbae,a,['butterfat'],68,255
ruftbae,e,['butterfat'],89,376
mciptae,m,['peacetime'],43,141
mciptae,c,['peacetime'],36,164
mciptae,i,['peacetime'],45,192
mciptae,p,['peacetime'],40,160
mciptae,t,['peacetime'],54,225
mciptae,a,['peacetime'],55,212
mciptae,e,['peacetime'],56,208
ouibned,o,['bedouin'],42,181
ouibned,u,['bedouin'],32,187
ouibned,i,['bedouin'],32,155
ouibned,b,['bedouin'],41,197
ouibned,n,['bedouin'],64,288
ouibned,e,['bedouin'],63,291
ouibned,d,['bedouin'],66,309
uxifgsn,u,['suffixing'],28,137
uxifgsn,x,['suffixing'],9,43
uxifgsn,i,['suffixing'],42,199
uxifgsn,f,['suffixing'],20,115
uxifgsn,g,['suffixing'],34,179
uxifgsn,s,['suffixing'],42,183
uxifgsn,n,['suffixing'],44,211
roiysld,r,['sordidly'],29,121
roiysld,o,['sordidly'],53,187
roiysld,i,['sordidly'],36,128
roiysld,y,['sordidly'],26,118
roiysld,s,['sordidly'],48,174
roiysld,l,['sordidly'],53,195
roiysld,d,['sordidly'],46,174
oigtban,o,"['boating', 'obtaining']",74,385
oigtban,i,"['boating', 'obtaining']",88,555
oigtban,g,"['boating', 'obtaining']",83,481
oigtban,t,"['boating', 'obtaining']",85,472
oigtban,b,"['boating', 'obtaining']",47,249
oigtban,a,"['boating', 'obtaining']",85,465
oigtban,n,"['boating', 'obtaining']",107,616
